"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"266351330231_779174707587256","2","1","1","266351330231_779174707587256","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","Couples that layer together, stay together 😉   Warm, Extra Warm + Ultra Warm HEATTECH pieces are essential to cozy winter looks. Shop the collection in stores + online!   Find them all here: https://www.uniqlo.com/us/en/women/innerwear/heattech-innerwear-and-thermal-underwear?storeId=101539&inventoryCondition=1  #Uniqlo #Uniqlousa","2023-12-30T15:06:34+0000","","",""
"266351330231_779174707587256/266351330231_779174707587256","28","2","2","266351330231_779174707587256","empty","","fetched (200)","2024-03-05 19:33:33.951499","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_779174707587256/266351330231_779174707587256","29","2","2","266351330231_779174707587256","offcut","","fetched (200)","2024-03-05 19:33:33.951499","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_779174707587256/266351330231_779174707587256","86","2","2","266351330231_779174707587256","empty","","fetched (200)","2024-03-05 19:33:46.393560","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_779174707587256/266351330231_779174707587256","87","2","2","266351330231_779174707587256","offcut","","fetched (200)","2024-03-05 19:33:46.393560","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_778068397697887","3","1","1","266351330231_778068397697887","data","data.*","fetched (200)","2024-03-05 19:32:53.632896","Facebook:/<page-id>/posts","Kick off the New Year in your HOTTEST look when you step into 2024 with cozy warm HEATTECH layers! 🔥  Find all our HEATTECH layers here: https://bit.ly/3RBxSDo  #Uniqlo #Uniqlousa #HEATTECH","2023-12-28T22:22:16+0000","","",""
"266351330231_779174707587256/266351330231_778068397697887/266351330231_778068397697887","30","3","2","266351330231_778068397697887","empty","","fetched (200)","2024-03-05 19:33:34.536225","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_778068397697887/266351330231_778068397697887","31","3","2","266351330231_778068397697887","offcut","","fetched (200)","2024-03-05 19:33:34.536225","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_778068397697887/266351330231_778068397697887","88","3","2","266351330231_778068397697887","empty","","fetched (200)","2024-03-05 19:33:46.743242","Facebook:/<post-id>/comments","","","","",""
"266351330231_779174707587256/266351330231_778068397697887/266351330231_778068397697887","89","3","2","266351330231_778068397697887","offcut","","fetched (200)","2024-03-05 19:33:46.743242","Facebook:/<post-id>/comments","","","","",""
