object_id,message,created_time
266351330231_779174707587256,"Couples that layer together, stay together ?   Warm, Extra Warm + Ultra Warm HEATTECH pieces are essential to cozy winter looks. Shop the collection in stores + online!   Find them all here: https://www.uniqlo.com/us/en/women/innerwear/heattech-innerwear-and-thermal-underwear?storeId=101539&inventoryCondition=1  #Uniqlo #Uniqlousa",2023-12-30T15:06:34+0000
266351330231_779174707587256,,
266351330231_779174707587256,,
266351330231_779174707587256,,
266351330231_779174707587256,,
266351330231_778068397697887,Kick off the New Year in your HOTTEST look when you step into 2024 with cozy warm HEATTECH layers! ?  Find all our HEATTECH layers here: https://bit.ly/3RBxSDo  #Uniqlo #Uniqlousa #HEATTECH,2023-12-28T22:22:16+0000
266351330231_778068397697887,,
266351330231_778068397697887,,
266351330231_778068397697887,,
266351330231_778068397697887,,
266351330231_777857181052342,Jaws will drop at ball drop ?? Make it to midnight in these NYE dress picks!   Shop all dresses in stores + online here: https://www.uniqlo.com/us/en/women/dresses-and-skirts?storeId=101539&inventoryCondition=1   #Uniqlo #Uniqlousa #NewYearsoutfit,2023-12-28T14:50:26+0000
266351330231_777857181052342,I¡¯ll tell you the ultrastrech airism dress is the best I¡¯ve worn! I¡¯ve ordered another.,2023-12-28T17:35:20+0000
266351330231_777857181052342,,
266351330231_777857181052342,I¡¯ll tell you the ultrastrech airism dress is the best I¡¯ve worn! I¡¯ve ordered another.,2023-12-28T17:35:20+0000
266351330231_777857181052342,,
266351330231_777242287780498,"Aesthetically pleasing shopping? Yes, please! ?  You know what they say: home is where the organized shelves are! #Uniqlousa #Uniqlo",2023-12-27T15:50:26+0000
266351330231_777242287780498,Please open an outlet in Texas ?,2023-12-29T02:13:27+0000
266351330231_777242287780498,,
266351330231_777242287780498,Please open an outlet in Texas ?,2023-12-29T02:13:27+0000
266351330231_777242287780498,,
