"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"418023401552807_807286991502877","25","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Read Bob's story and more at https://zm.me/3u8JCFA 💡","2024-01-25T16:13:37+0000","2","9",""
"418023401552807_807286991502877/418023401552807_807286991502877","26","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Come to Argentina Bro www.correocompras.com.ar","2024-01-25T17:48:12+0000","1","1",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","27","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","www.fifplay.com","2024-01-25T17:48:22+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","28","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Can’t get any response to a complaint filed concerning a fraudulent change to my account. I just PMed. Someone please contact me.","2024-01-25T22:37:39+0000","1","1",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","29","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","شكون خدام فهاد زوم اشرح لينا البلان كيفاش داير","2024-01-28T17:54:50+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","30","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","In the last couple of months, Zoom changes have been for the worse.","2024-01-28T19:08:09+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","31","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Ron Feltman same thing happened to me I contacted support for almost two weeks and all I got was automated bot replies, not until I got recommended to #Droneyfix on Instagram who got it reactivated in less than an hour His Link 👇 https://www.instagram.com/droneyfix__?igsh=MzNlNGNkZWQ4Mg==","2024-01-29T13:24:56+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","32","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Zoom please refund my my $200 plus dollars!!!!!! I’ve been waiting now for over a week!!!! This is ridiculous!","2024-01-30T15:44:32+0000","0","3",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","33","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","We're very sorry to hear about this, please send us a private message so that we can help you further.","2024-01-30T18:10:09+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","34","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Keep all the good work","2024-01-31T22:07:40+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","35","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Could you help me solve a problem that suddenly started. When I am doing a zoom meeting with a screen share of the presentation for some reason the viewer sees the shadow of my zoom tool bar which blocks the presentation.  I logged in and logged out a couple times and then my viewer during the live presentation didn't see the dark blocks though I recorded it and on the recording the toolbar and another box was there covering parts of the slideshow. Do you know how to fix this? Thank you!","2024-02-01T02:44:42+0000","0","4",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","36","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","For some crazy reason Natwest will no longer allow my payment to you. This is what they say: this means the payment has been declined due to bank policy. Bank policies are in place to protect both the bank and customers from harm and to meet our regulatory requirements. I'm unable to provide more details about the specific policy reasons that has resulted in the transaction decline nor can I inform you if or when the policy will change. If possible the best course of action is to contact the recipient and arrange an alternative payment. I've been paying for almost a year and now they won't allow payment to Zoom.","2024-02-01T12:28:14+0000","0","1",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","37","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","A mais de 5 meses cancelamento confirmado e continuo sendo cobrada. E pior nem tenho direito a versão paga.","2024-02-01T15:46:21+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","38","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","اهلا وسهلا","2024-02-02T14:36:33+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","39","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Your customer service is the worst! Just like the IRS. No way to contact anyone. Wow. I canceled my service and you still billed me! Unreal.","2024-02-02T18:54:44+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","40","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Nos gustaría pagar el zoom por mercado pago desde Confederación Espiritista Argentina","2024-02-04T01:28:10+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","41","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Como lo hacemos","2024-02-04T01:28:22+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","42","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","जेठाराम जाट","2024-02-05T02:03:52+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","43","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","जेठाराम जाट","2024-02-05T02:04:35+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","44","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","","2024-02-05T02:08:02+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","45","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Hindu","2024-02-05T02:10:22+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","46","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Por qué no hay soporte en español? no tengo servicio desde hace 6 meses y he mandado infinidad de correos  por lo que obtengo respuestas amables pero no soluciones. Hoy me llega el cobro a mi tarjeta por otro año, No hay adie con quien pueda hablar, es desesperante y fraudelento.","2024-02-05T18:37:35+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","47","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","Why is there no support in Spanish? I have not had service for 6 months and I have sent countless emails all  I get  are polite responses, but no solutions. Today I received a charge on my card for another year. There is no one I can talk to, it is frustrating and fraudulent.","2024-02-05T18:39:22+0000","1","5",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","48","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","We're sorry to hear about this. Can you send us your email address and ticket number through private message?","2024-02-06T03:15:11+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","49","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","😡Zoom's paid service has declined considerably. With a purchased License, it does not allow you to assign it to users in the account, and WORST, it does not allow you to assign it to the owner account/email. Zoom is stealing money. A big disappointment. Many people have been complaining about this since last year and Zoom does not fix the situation. My case and many others: https://community.zoom.com/t5/Billing-Account-Management/unable-to-assign-lisence-because-quot-You-have-exceeded-the/td-p/111460","2024-02-06T06:26:23+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","50","4","2","418023401552807_807286991502877","offcut","","fetched (200)","2024-03-07 10:16:49.300057","Facebook:/<post-id>/comments","","","","",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","365","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:58.493820","Facebook:/<post-id>/comments","Read Bob's story and more at https://zm.me/3u8JCFA 💡","2024-01-25T16:13:37+0000","2","9",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","366","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:58.493820","Facebook:/<post-id>/comments","Come to Argentina Bro www.correocompras.com.ar","2024-01-25T17:48:12+0000","1","1",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","367","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:58.493820","Facebook:/<post-id>/comments","www.fifplay.com","2024-01-25T17:48:22+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","368","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:58.493820","Facebook:/<post-id>/comments","Can’t get any response to a complaint filed concerning a fraudulent change to my account. I just PMed. Someone please contact me.","2024-01-25T22:37:39+0000","1","1",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","369","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:58.493820","Facebook:/<post-id>/comments","شكون خدام فهاد زوم اشرح لينا البلان كيفاش داير","2024-01-28T17:54:50+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","370","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:58.493820","Facebook:/<post-id>/comments","In the last couple of months, Zoom changes have been for the worse.","2024-01-28T19:08:09+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","371","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:58.493820","Facebook:/<post-id>/comments","Ron Feltman same thing happened to me I contacted support for almost two weeks and all I got was automated bot replies, not until I got recommended to #Droneyfix on Instagram who got it reactivated in less than an hour His Link 👇 https://www.instagram.com/droneyfix__?igsh=MzNlNGNkZWQ4Mg==","2024-01-29T13:24:56+0000","0","0",""
"418023401552807_807286991502877/418023401552807_807286991502877/418023401552807_807286991502877","372","4","2","418023401552807_807286991502877","data","data.*","fetched (200)","2024-03-07 10:16:58.493820","Facebook:/<post-id>/comments","Zoom please refund my my $200 plus dollars!!!!!! I’ve been waiting now for over a week!!!! This is ridiculous!","2024-01-30T15:44:32+0000","0","3",""
